Category:,Motorcycle,,,,,,,,,,,
Name,Manufacturer,Production,"Max speed, km/h","Weight, kg","Fuel capacity, l",Engine,Gearbox,Generator,Final drive,Sidecar reduction drive,Frame and wheels,Image
R-75,BMW,1941-1946,95,420,-,-,-,-,-,-,-,-
RT125,DKW,1939-1965,90,-,-,-,-,-,-,-,-,-
Jupiter-4,IZHMASH,1980-1985,120,-,18,-,-,-,-,-,-,-
M103,MMVZ,1962-1964,75,-,9,-,-,-,-,-,-,-
M1A,MMVZ,1951-?,-,-,9,-,-,-,-,-,-,-
M1M Monkey,MMVZ,1956-1961,75,-,9,-,-,-,-,-,-,-
KS750,Zundapp,1939-1948,95,420,23,-,-,-,-,-,-,https://drive.google.com/open?id=19231yUTq-MmDN0mZoZTLvSULzgrrGYlr
M-61 Irbit ,IMZ,1959-1963,95,360,22,M-61 type,7204,G-11A,M-72 type,-,M-72M type,https://drive.google.com/open?id=19srdYkcXEyaGs27i-O_0kMw5J1An6VPP
M-72,IMZ,1941-1957,95,350,22,M-72 type,7204,G-11A,M-72 type,-,M-72 type,https://drive.google.com/open?id=1myqNrG0VsN425m9YihjsF4cgjsGaZWih
M-72M,IMZ; KMZ,1955-1960,95,350,22,M-72 type,7204,G-11A,M-72 type,-,M-72M type,https://drive.google.com/open?id=14prboRMH2AR-SHIkpBigghB_E_nuwnj9
K-750,KMZ,1958-1964,95,342,20,K-750 type,7204,G-11A,K-750 type,-,K-750 type,https://drive.google.com/open?id=1zSAvGqZ9idAbTJSY5GxfIPJzTxyB67ym
K-750V,KMZ,1958-1964,95,342,20,K-750 type,7204,G-11A,K-750 type,-,K-750 type,https://drive.google.com/open?id=1o4hLnTtT-sQCytceDHM963GI2-0YglF9
M-72N,KMZ,1957-1958,95,350,22,M-72 type,7204,G-11A,M-72 type,-,M-72N type,https://drive.google.com/open?id=1e8Nsg7wStQ2Obe5Xm1LApnLi7I28LmDF
M-62 Ural,IMZ,1961-1965,95,340,22,M-62 type,6204 M-62 type,G-414,M-62 type,-,M-62 type,https://drive.google.com/open?id=1Nk7S4Rm4s9JNeMd4cSiydcZzv5x6rgCW
M-63 Ural-2,IMZ,1963-1980,95,320,19,M-62 type,6204,G-414,M-63 type,-,M-63 type,https://drive.google.com/open?id=1XBiY63Yj59Moh_y8Vp9asmC6BVE2QNLA
M-66 Ural-3 ,IMZ,1973-1976,105,315,19,M-66 type,6204,G-414,M-63 type,-,M-66 type,https://drive.google.com/open?id=1bkn2wpkexJeCeiULDq3fLr5dhSnWHkqB
Dnepr MT-9,KMZ,1971-1976,105,350,20,MT-9 type,MT-804,G-414,K-750M type,-,K-750M type,https://drive.google.com/open?id=1-sC9P4N5Y0shTNwaTk2TL9R5Wb4td5EU
Dnepr-12,KMZ,1977-1986,95,355,19,K-750M type,MT-804,G-414,MB-750M type,KMZ type,MV-750M type,https://drive.google.com/open?id=11GCpnEZlrDzOZNDTAw2Sap18K_I7LmNB
K-650 Dnepr,KMZ,1968-1971,105,350,20,MT-8,6204,G-414,K-750M type,-,K-750M type,https://drive.google.com/open?id=1jvTuabGnxYt3UcLWJzCAz96ymNsabQKC
K-750M,KMZ,1963-1970,95,350,20,K-750M type,6204,G-414,K-750M type,-,K-750M type,https://drive.google.com/open?id=1kVR89fuvWT16ah08yzjMkdNT0hSlUbim
MV-750,KMZ,1964-1973,95,355,20,K-750 type,7204,G-414,MB-750 type,KMZ type,MV-750 type,https://drive.google.com/open?id=1Y0aNyTziEE6a1tfd60Wq0mWjdJlVfUcr
MV-750M,KMZ,1973-1976,95,355,19,K-750M type,MT-804,G-414,MB-750M type,KMZ type,MV-750M type,https://drive.google.com/open?id=13oXe-SPOmBW5Iy70ZgFD9E2-HDmI-xvz
Ural M-67,IMZ,1973-1976,105,330,19,M-67 type,IMZ-8.101-04001,G-424,M-63 type,-,M-67 type,https://drive.google.com/open?id=1ZqTlGSd_jxopxBLeVD3G82HqcSgcDnnN
Ural M-67-36,IMZ,1976-1974,105,330,19,M-67-36 type,IMZ-8.101-04001,G-424,M-63 type,-,M-67 type,https://drive.google.com/open?id=1Pwh-hVCbKkXHR1h6X96z3e4kRfIlRBtI
Dnepr MT-10,KMZ,1974-1976,105,335,20,MT-10 type,MT-804,G-424,K-750M type,-,K-750M type,https://drive.google.com/open?id=1cplFd59qm9BzfaoXnDPUpnL1B88YwciZ
Dnepr MT-10-36,KMZ,1976-1984,105,335,20,MT-10-36 type,MT-804,G-424,K-750M type,-,K-750M type,https://drive.google.com/open?id=1woyuBqtgPSOSdN4dXltWy_OKVj5u3Tir
Dnepr-11,KMZ,1985-2008,100,325,19,MT-10-32,KMZ-8.155 type,G-424,K-750M type,-,MT-10-36 type,https://drive.google.com/open?id=1VmzECCm3uHpKjoIghRHJ2KeMFE2Z46MA
Dnepr-16,KMZ,1986-2008,95,355,19,MT-10-32,KMZ-8.155 type,G-424,MB-750M type,KMZ type,MV-650 type,https://drive.google.com/open?id=16qsyAbOHlvT0fbzpK8Nv8yu4FEnjKK3q
MV-650,KMZ,1976-1986,95,355,19,MT-10 type,MT-804,G-424,MB-750M type,KMZ type,MV-650 type,https://drive.google.com/open?id=1IdQPfc74SKWCAzp45vblx4Ki9XMnNhim
MV-650M,KMZ,1986-?,95,355,19,MT-10-36 type,MT-804,G-424,MB-750M type,KMZ type,MV-650 type,https://drive.google.com/open?id=1IdQPfc74SKWCAzp45vblx4Ki9XMnNhim